MW,FaultType,Rjb,VS30,PGA
4.19,Yanal Atımlı,150.76,611.0,0.0004096866027685064
4.19,Yanal Atımlı,58.57,372.0,0.00315941548637218
4.19,Yanal Atımlı,166.57,238.0,0.0007782755457198755
4.19,Yanal Atımlı,151.51,393.26,0.00011150346814695945
4.19,Yanal Atımlı,104.4,679.0,0.001178619760892859
4.19,Yanal Atımlı,296.65,386.0,6.657098624130486e-05
4.19,Yanal Atımlı,138.02,559.0,0.00032659881391384446
4.19,Yanal Atımlı,136.99,434.29,0.0004364794928228931
4.19,Yanal Atımlı,43.21,335.43,0.001980824281073412
4.19,Yanal Atımlı,207.14,644.0,8.477223273389701e-05
4.19,Yanal Atımlı,20.55,388.0,0.013330558614130456
4.19,Yanal Atımlı,200.32,623.0,0.0004455698586656194
4.19,Yanal Atımlı,142.61,655.67,0.000753097633590652
4.19,Yanal Atımlı,127.16,273.32,0.0004189271984429037
4.19,Yanal Atımlı,205.89,419.23,8.32517550799381e-05
4.19,Yanal Atımlı,93.87,371.33,0.0019509489333555045
4.19,Yanal Atımlı,63.95,417.99,0.0024607134394327877
4.19,Yanal Atımlı,174.02,448.0,0.0005523293701850826
4.19,Yanal Atımlı,145.77,511.0,0.0008813511664697165
4.19,Yanal Atımlı,153.48,378.0,0.0008082180607886772
4.19,Yanal Atımlı,100.39,680.05,0.0009108042574498705
4.19,Yanal Atımlı,191.49,303.0,0.0002820291548671165
4.19,Yanal Atımlı,150.73,370.36,0.0004094327790317356
4.19,Yanal Atımlı,47.54,365.0,0.0017932493154651586
4.19,Yanal Atımlı,405.28,308.0,3.1644482962595545e-05
4.19,Yanal Atımlı,36.12,698.72,0.009753554646639693
4.19,Yanal Atımlı,76.66,335.43,0.0007090336605611048
4.19,Yanal Atımlı,73.54,338.28,0.00179120114284556
4.19,Yanal Atımlı,75.63,500.0,0.0014725795382846422
4.19,Yanal Atımlı,61.57,244.0,0.0016696930344742443
4.19,Yanal Atımlı,53.24,419.0,0.007263369940647152
4.19,Yanal Atımlı,306.11,297.0,3.3626034415018374e-05
4.19,Yanal Atımlı,120.96,352.0,0.0003962573677514274
4.19,Yanal Atımlı,109.24,414.77,0.0006747200212593443
4.19,Yanal Atımlı,174.21,416.52,0.00011113488094639775
4.19,Yanal Atımlı,194.15,489.0,0.000255417875488326
4.19,Yanal Atımlı,77.35,388.68,0.0006314937162283723
4.19,Yanal Atımlı,65.99,346.0,0.0018888066343769893
4.19,Yanal Atımlı,110.98,465.0,0.0006958984525298573
4.19,Yanal Atımlı,123.87,639.74,0.00016666152095960846
4.19,Yanal Atımlı,94.04,699.0,0.00030150353585435774
4.19,Yanal Atımlı,61.41,360.0,0.002602563942425335
4.19,Yanal Atımlı,63.31,355.87,0.001151291952628698
4.19,Yanal Atımlı,118.5,278.64,0.00124189790936027
4.19,Yanal Atımlı,116.78,420.96,0.00026206671955738675
4.19,Yanal Atımlı,143.01,253.0,0.0012909813834648817
4.19,Yanal Atımlı,183.79,503.0,0.00031318722042032623
4.19,Yanal Atımlı,176.56,439.0,0.00023077119102422642
4.19,Yanal Atımlı,214.93,489.62,0.00013848242563849032
4.19,Yanal Atımlı,259.73,313.0,7.779609135232952e-05
4.19,Yanal Atımlı,152.88,377.62,0.0003954823788006237
4.19,Yanal Atımlı,287.83,440.0,2.6615251191938806e-05
4.19,Yanal Atımlı,114.81,302.09,0.0004110332716187827
4.19,Yanal Atımlı,104.92,440.67,0.0004143982606665839
4.19,Yanal Atımlı,178.55,356.0,0.0010155708660261823
4.19,Yanal Atımlı,306.4,225.0,2.453351466056178e-05
4.19,Yanal Atımlı,174.53,482.0,0.001124640041781285
4.19,Yanal Atımlı,266.02,455.51,3.215078350413875e-05
4.19,Yanal Atımlı,38.27,393.0,0.003069767259253903
4.19,Yanal Atımlı,210.3,351.22,5.075813612220212e-05
4.19,Yanal Atımlı,76.17,586.0,0.0016957247577831993
4.19,Yanal Atımlı,101.21,217.84,0.0019968842658056474
4.19,Yanal Atımlı,49.34,374.5,0.014734176761899018
4.19,Yanal Atımlı,117.24,405.0,0.0005020336995993994
4.19,Yanal Atımlı,108.69,342.64,0.0013612288805127225
4.19,Yanal Atımlı,204.86,242.0,0.00031832480450798994
4.19,Yanal Atımlı,223.2,660.0,2.4112765552296156e-05
3.52,Yanal Atımlı,199.63,527.95,7.756239733272818e-06
3.52,Yanal Atımlı,111.71,461.0,0.0002940292747890931
3.52,Yanal Atımlı,153.62,505.0,9.266377521448174e-05
3.52,Yanal Atımlı,169.17,1242.0,6.157428752531367e-05
3.52,Yanal Atımlı,55.64,489.0,0.00035577521480162165
3.52,Yanal Atımlı,125.0,434.29,7.746579117649287e-05
3.52,Yanal Atımlı,189.18,644.0,1.1499888587721187e-05
3.52,Yanal Atımlı,255.0,623.0,1.078087978320879e-05
3.52,Yanal Atımlı,60.94,419.23,0.00030614733491258746
3.52,Yanal Atımlı,423.25,448.0,3.1063128319601037e-06
3.52,Yanal Atımlı,146.5,378.0,0.00012433562476768273
3.52,Yanal Atımlı,95.37,303.0,0.00021156684944822996
3.52,Yanal Atımlı,72.93,259.0,0.000668284025396762
3.52,Yanal Atımlı,150.47,760.0,7.85468766312194e-05
3.52,Yanal Atımlı,51.8,297.0,0.0013014227722392328
3.52,Yanal Atımlı,140.82,639.74,2.4086287224269328e-05
3.52,Yanal Atımlı,16.91,485.0,0.001462101182419288
3.52,Yanal Atımlı,32.65,313.0,0.0028689515559633364
3.52,Yanal Atımlı,37.0,440.0,0.0015637180234283992
3.52,Yanal Atımlı,45.9,660.0,0.0003556971761977455
3.64,Ters Oblik Atımlı,100.21,347.0,0.00018204876361859753
3.64,Ters Oblik Atımlı,142.6,348.0,7.953710362497493e-05
3.64,Ters Oblik Atımlı,66.15,265.59,0.0007113921479734297
3.64,Ters Oblik Atımlı,170.12,356.0,0.0001084010473311951
3.64,Ters Oblik Atımlı,34.41,373.3,0.0007345650233981061
3.64,Ters Oblik Atımlı,148.01,652.2,0.00019161345961296665
3.64,Ters Oblik Atımlı,82.25,927.0,0.00024130579666460563
3.64,Ters Oblik Atımlı,36.45,668.72,0.0011892177509152686
3.64,Ters Oblik Atımlı,193.7,372.0,8.210826594795435e-05
3.64,Ters Oblik Atımlı,131.86,1242.0,0.00012060348863664765
3.64,Ters Oblik Atımlı,39.91,393.26,0.0006002311891177432
3.64,Ters Oblik Atımlı,71.84,244.74,0.0015324220174791178
3.64,Ters Oblik Atımlı,61.64,366.77,0.0004935295231470757
3.64,Ters Oblik Atımlı,34.09,396.33,0.0018795862898214597
3.64,Ters Oblik Atımlı,33.75,257.0,0.0014436412519263986
3.64,Ters Oblik Atımlı,52.52,273.32,0.0006385773249733504
3.64,Ters Oblik Atımlı,131.16,378.0,0.00016187143728341947
3.64,Ters Oblik Atımlı,151.91,680.05,8.002999124240862e-05
3.64,Ters Oblik Atımlı,107.68,303.0,0.0001496784540209445
3.64,Ters Oblik Atımlı,54.35,370.36,0.0007419292140567859
3.64,Ters Oblik Atımlı,135.48,365.0,0.00015620003023616863
3.64,Ters Oblik Atımlı,150.27,698.72,0.0002166828857141468
3.64,Ters Oblik Atımlı,72.36,760.0,0.0005759530445630442
3.64,Ters Oblik Atımlı,155.59,297.0,7.12397403483477e-05
3.64,Ters Oblik Atımlı,44.16,292.23,0.001554690338320799
3.64,Ters Oblik Atımlı,102.31,388.68,0.00023014455007383948
3.64,Ters Oblik Atımlı,59.05,639.74,0.0001377279670761171
3.64,Ters Oblik Atımlı,52.25,282.25,0.00272890527880298
3.64,Ters Oblik Atımlı,127.22,360.0,0.0004158119560105265
3.64,Ters Oblik Atımlı,123.02,355.87,0.00024821065496460865
3.64,Ters Oblik Atımlı,61.22,278.64,0.0019611765479381938
3.64,Ters Oblik Atımlı,123.31,1131.0,7.541633824072872e-05
3.64,Ters Oblik Atımlı,23.86,750.25,0.001308071437299026
3.64,Ters Oblik Atımlı,204.47,827.0,5.056262209666346e-05
3.64,Ters Oblik Atımlı,50.43,854.0,0.0005136092034616592
3.64,Ters Oblik Atımlı,29.08,377.62,0.004363394087888539
3.64,Ters Oblik Atımlı,88.02,302.09,0.0004976252985790815
3.64,Ters Oblik Atımlı,47.03,260.0,0.0003203412500909616
3.64,Ters Oblik Atımlı,46.3,229.32,0.0013779428105918257
3.64,Ters Oblik Atımlı,76.71,351.22,9.821287431518334e-05
3.64,Ters Oblik Atımlı,35.82,383.09,0.0010117470009979818
3.64,Ters Oblik Atımlı,148.87,374.5,0.00027612936173324634
3.64,Ters Oblik Atımlı,71.18,342.64,0.00041617002921834725
3.64,Ters Oblik Atımlı,36.13,383.69,0.0019902385128088593
3.64,Ters Oblik Atımlı,90.53,660.0,0.00022157324338793706
3.32,Yanal Atımlı,19.02,715.0,0.0028250652119084633
3.32,Yanal Atımlı,20.52,580.0,0.005133526506443961
3.63,Yanal Atımlı,121.61,361.0,0.0002511968811445118
3.63,Yanal Atımlı,141.46,499.0,0.00022568715075034731
3.63,Yanal Atımlı,184.14,356.0,0.0001187586559379989
3.63,Yanal Atımlı,167.94,370.0,0.00010366758019062662
3.63,Yanal Atımlı,149.29,393.26,7.365846840445436e-05
3.63,Yanal Atımlı,191.78,365.0,5.232385424803872e-05
3.63,Yanal Atımlı,155.26,414.77,0.0002910041479245958
3.63,Yanal Atımlı,36.94,489.0,0.002111009675345864
3.63,Yanal Atımlı,90.23,465.0,0.00016462804754652227
3.63,Yanal Atımlı,148.09,360.0,0.00024986942699396016
3.63,Yanal Atımlı,150.41,355.87,0.0001803514037845284
3.63,Yanal Atımlı,106.03,420.96,0.0002528679067317361
3.63,Yanal Atımlı,143.9,253.0,0.0002788492446158856
3.63,Yanal Atımlı,138.87,440.67,0.00010879873615166676
3.87,Yanal Atımlı,72.81,796.0,0.002600404285436036
3.87,Yanal Atımlı,126.4,763.0,0.00019986290572780133
3.87,Yanal Atımlı,39.66,524.0,0.0027460967390279846
3.87,Yanal Atımlı,209.61,1029.0,8.044812236124595e-05
3.87,Yanal Atımlı,70.44,652.2,0.0007121981234827427
3.87,Yanal Atımlı,122.31,927.0,6.985592241764474e-05
3.87,Yanal Atımlı,222.41,1464.0,2.5324701102480952e-05
3.87,Yanal Atımlı,36.62,576.04,0.006065900611908406
3.87,Yanal Atımlı,153.06,1242.0,0.000129525324090272
3.87,Yanal Atımlı,205.83,743.0,6.603266050372346e-05
3.87,Yanal Atımlı,94.86,559.0,0.0005709820741263249
3.87,Yanal Atımlı,108.26,726.0,0.00029947529372021655
3.87,Yanal Atımlı,153.12,981.0,0.00022072679863056955
3.87,Yanal Atımlı,52.1,622.32,0.0013915787413510058
3.87,Yanal Atımlı,76.11,1188.0,0.0008932678913358131
3.87,Yanal Atımlı,34.5,698.72,0.0020450671412925686
3.87,Yanal Atımlı,121.3,760.0,0.00017299097268750761
3.87,Yanal Atımlı,48.41,786.0,0.0029265215245072246
3.87,Yanal Atımlı,32.99,704.1,0.0036387982099787427
3.87,Yanal Atımlı,96.0,586.0,0.0003035105903478823
4.05,Yanal Atımlı,143.03,796.0,5.322858011801555e-05
4.05,Yanal Atımlı,190.43,356.0,0.00016168946026544215
4.05,Yanal Atımlı,182.25,1029.0,0.002488101629417016
4.05,Yanal Atımlı,70.71,619.0,0.002556030331801094
4.05,Yanal Atımlı,83.22,210.25,0.0011135643122668984
4.05,Yanal Atımlı,104.13,681.24,1.7850743681987035e-05
4.05,Yanal Atımlı,104.63,370.0,0.00023203516096117845
4.05,Yanal Atımlı,130.91,652.2,0.0005870838583034795
4.05,Yanal Atımlı,360.99,895.0,7.362931791752521e-06
4.05,Yanal Atımlı,257.41,927.0,3.409930926411853e-05
4.05,Yanal Atımlı,7.89,625.0,0.01748850060387625
4.05,Yanal Atımlı,89.65,611.0,0.0014298931522190076
4.77,Yanal Atımlı,275.83,404.73,0.0009332931206724821
4.05,Yanal Atımlı,301.07,1242.0,2.3770608768392952e-05
4.05,Yanal Atımlı,77.47,805.0,0.0015589586616892859
4.05,Yanal Atımlı,49.11,238.0,0.0019913618831232283
4.05,Yanal Atımlı,118.99,743.0,0.00034053389598452606
4.05,Yanal Atımlı,145.61,622.32,0.0006305056170670964
4.05,Yanal Atımlı,191.13,388.0,0.00012958154041884206
4.05,Yanal Atımlı,66.06,655.67,0.0017296740252274417
